term,estimate,std.error,statistic,p.value,conf.low,conf.high,Model,Outcome,OR,conf.low_OR,conf.high_OR
uhi_quartileQ4 (High),-0.0319290987951688,0.02171138494127195,-1.4706154803820752,0.14139513505945311,-0.07448263133454708,0.010624433744209481,Fully Adj.,outcome_comp,0.9685752527971435,0.9282235959240784,1.0106810734509521
uhi_quartileQ2,0.02475010710275128,0.021391463678802278,1.1570085840959647,0.24726885324518386,-0.017176391284297862,0.06667660548980042,Unadjusted,outcome_to,1.0250589335693514,0.9829702819515381,1.0689497297967543
uhi_quartileQ3,0.015849843356268847,0.02203055885076001,0.7194480840744564,0.47186487909484914,-0.02732925855051088,0.05902894526304857,Unadjusted,outcome_to,1.0159761183878577,0.9730408067686656,1.0608059456029157
uhi_quartileQ4 (High),0.007821649794895368,0.023963801898186667,0.3263943604661174,0.7441260038079784,-0.03914653885820307,0.0547898384479938,Unadjusted,outcome_to,1.007852318806262,0.9616097856212108,1.0563185937911006
uhi_quartileQ2,0.011109945208154634,0.01581045018431978,0.702696322915148,0.4822450197071795,-0.019877967732476784,0.04209785814878605,Clinical Adj.,outcome_to,1.0111718898373547,0.9803182964722768,1.0429965394674878
uhi_quartileQ3,0.012803335390459875,0.016621315507509518,0.7702961528331089,0.4411242379626226,-0.019773844379935863,0.04538051516085562,Clinical Adj.,outcome_to,1.0128856490101803,0.9804203758141922,1.0464259651058176
uhi_quartileQ4 (High),0.008055946868198521,0.017943605106400636,0.44895921529865235,0.6534610781022343,-0.02711287289315572,0.04322476662955276,Clinical Adj.,outcome_to,1.008088483320127,0.9732513816251392,1.0441725636245673
uhi_quartileQ2,0.0086664579300732,0.01412623735701647,0.6135008007470999,0.5395452534682232,-0.019020458526743354,0.03635337438688975,Fully Adj.,outcome_to,1.0087041203980436,0.9811592889639191,1.0370222388481176
uhi_quartileQ3,0.00693145906205427,0.015276359906063861,0.45373761188376216,0.650017692264957,-0.023009656168702573,0.036872574292811114,Fully Adj.,outcome_to,1.0069555372245353,0.9772530472074277,1.037560800495446
uhi_quartileQ4 (High),0.00228216383179614,0.01664552462065975,0.1371037491340832,0.8909487890757204,-0.030342464928471705,0.03490679259206399,Fully Adj.,outcome_to,1.002284769949826,0.9701132468897868,1.0355231858693545
uhi_quartileQ2,-0.06898578086930907,0.03387864348128924,-2.0362616026054607,0.04172409332574961,-0.13538670193770863,-0.0025848598009095003,Unadjusted,outcome_los,0.9333399512665955,0.8733781093705927,0.997418478072588
uhi_quartileQ3,-0.028485226463268454,0.03446698927587398,-0.8264495118872304,0.40854914695173133,-0.09603928409950971,0.0390688311729728,Unadjusted,outcome_los,0.9719166526864416,0.908428328578878,1.0398420547353027
uhi_quartileQ4 (High),0.02319742042053763,0.03966688428494817,0.5848057098182533,0.5586783646478725,-0.05454824415687862,0.10094308499795387,Unadjusted,outcome_los,1.0234685731999051,0.9469128247449707,1.1062136798178506
uhi_quartileQ2,-0.049191868848867656,0.025859103809596624,-1.9023036997365688,0.05713146229183449,-0.09987478098815952,0.0014910432904242168,Clinical Adj.,outcome_los,0.951998453326749,0.9049507279774537,1.0014921554481608
uhi_quartileQ3,-0.019552072989111265,0.02674617958680411,-0.7310230205273042,0.4647650919227302,-0.0719736217032877,0.032869475725065156,Clinical Adj.,outcome_los,0.9806378291160985,0.9305554419550167,1.033415644610266
uhi_quartileQ4 (High),0.0283802742711143,0.031314298877871585,0.9063039981128037,0.36477496991894487,-0.03299462373063701,0.08975517227286561,Clinical Adj.,outcome_los,1.0287868312075514,0.9675437613509305,1.0939064322923062
uhi_quartileQ2,-0.009067073962789565,0.021870147631224735,-0.4145867744323867,0.6784444316203155,-0.051931775656564004,0.033797627730984874,Fully Adj.,outcome_los,0.990973907996649,0.9493936363909395,1.034375256677803
uhi_quartileQ3,-0.004951851681747795,0.02351910427631812,-0.21054592996272897,0.833241608012567,-0.051048449011973265,0.04114474564847767,Fully Adj.,outcome_los,0.995060388523563,0.9502326315850201,1.0420029200187206
uhi_quartileQ4 (High),0.027516017667277667,0.029133783784603795,0.9444711291438546,0.3449289484811633,-0.029585149283922786,0.08461718461847811,Fully Adj.,outcome_los,1.0278980795048245,0.9708482070919435,1.088300368823408
uhi_quartileQ2,-0.0800880809160257,0.023421850041055087,-3.4193746768783413,6.276523705191373e-4,-0.12599406344779165,-0.034182098384259764,Unadjusted,outcome_urgent,0.9230350410340252,0.8816200805515169,0.9663955095529372
uhi_quartileQ3,-0.03265191006986279,0.024937018592991446,-1.309375054122934,0.19040733728259712,-0.0815275683939317,0.016223748254206125,Unadjusted,outcome_urgent,0.9678754086421248,0.921707299513705,1.0163560678627683
uhi_quartileQ4 (High),-2.960696600000645e-4,0.026730678571383112,-0.011076024845737583,0.9911627914698785,-0.05268723694222753,0.0520950976222274,Unadjusted,outcome_urgent,0.9997039741642966,0.9486766771053814,1.053475920805073
uhi_quartileQ2,-0.0817889895841734,0.022616052532973763,-3.616413141282133,2.9871348765437314e-4,-0.12611563802126782,-0.03746234114707897,Clinical Adj.,outcome_urgent,0.9214663771868844,0.8815129044813304,0.9632306912007376
uhi_quartileQ3,-0.025823322387818943,0.024143030769831226,-1.069597377148166,0.28480057629575656,-0.07314279317433046,0.021496148398692582,Clinical Adj.,outcome_urgent,0.9745072480136657,0.9294680988491917,1.0217288550376096
uhi_quartileQ4 (High),0.01956349727474606,0.02637422349219564,0.7417658108696571,0.45822923842697494,-0.03212903089016759,0.0712560254396597,Clinical Adj.,outcome_urgent,1.0197561165392284,0.9683816228747508,1.0738561251628256
uhi_quartileQ2,-0.03407956832155178,0.018595567687809615,-1.8326715749523879,0.06685142691868176,-0.07052621126173539,0.002367074618631816,Fully Adj.,outcome_urgent,0.9664945992248808,0.9319033128440296,1.0023698783515353
uhi_quartileQ3,-0.011238286967183465,0.020001157335376392,-0.561881834072977,0.5741965313839021,-0.0504398349936403,0.027963261059273367,Fully Adj.,outcome_urgent,0.9888246266787044,0.9508111325093094,1.0283579029473615
uhi_quartileQ4 (High),0.012759339541782905,0.022698498800823048,0.5621226167309465,0.5740324799356527,-0.03172890061095586,0.05724757969452167,Fully Adj.,outcome_urgent,1.0128410872267135,0.9687691792152378,1.0589179445258463
